2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2011,"3,027,752","3,461,521","7,938,412","7,941,005","570,698",16.455,"584,018",16.839,"2,174,305","1,410,607","763,698",17.764,27.381,"2,178,890","1,385,486","793,404",17.447,27.438,"−4,585",−0.058,54.761,"378,734","387,595","923,812"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2012,"3,065,532","3,494,803","8,045,089","7,973,413","580,317",16.69,"544,606",15.663,"2,258,158","1,441,262","816,896",18.076,28.321,"2,114,882","1,339,249","775,633",16.796,26.524,"143,276",1.797,53.048,"340,430","348,448","846,496"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2013,"3,071,096","3,502,869","8,015,897","7,964,856","568,193",16.289,"539,068",15.454,"2,178,761","1,398,861","779,900",17.563,27.355,"2,077,636","1,313,938","763,698",16.497,26.085,"101,125",1.27,52.17,"345,499","349,953","850,239"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2014,"3,085,094","3,534,232","8,075,232","7,972,316","578,697",16.505,"522,428",14.901,"2,207,645","1,427,614","780,031",17.907,27.691,"1,998,596","1,258,508","740,088",15.786,25.069,"209,049",2.622,50.138,"343,772","348,768","840,660"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2015,"3,106,235","3,566,031","8,139,556","8,036,207","586,981",16.598,"528,020",14.93,"2,242,726","1,455,736","786,990",18.115,27.908,"2,032,012","1,282,229","749,783",15.956,25.286,"210,714",2.622,50.571,"344,924","350,580","854,667"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2016,"3,143,669","3,635,946","8,277,541","8,110,910","610,396",17.035,"505,074",14.095,"2,310,798","1,510,435","800,363",18.622,28.49,"1,975,606","1,222,824","752,782",15.076,24.357,"335,192",4.133,48.715,"348,484","354,459","863,750"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2017,"3,156,308","3,644,905","8,197,568","8,172,836","581,626",16.035,"546,329",15.062,"2,201,998","1,427,593","774,405",17.468,26.943,"2,155,879","1,343,590","812,289",16.44,26.379,"46,119",0.564,52.757,"358,614","364,942","884,127"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2018,"3,167,075","3,644,974","8,147,331","8,116,966","565,227",15.566,"537,432",14.801,"2,118,778","1,343,457","775,321",16.551,26.103,"2,053,020","1,296,266","756,754",15.97,25.293,"65,758",0.81,50.586,"365,507","373,082","897,088"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2019,"3,201,169","3,691,857","8,214,726","8,154,383","581,391",15.869,"525,229",14.336,"2,136,721","1,396,942","739,779",17.131,26.203,"2,014,934","1,251,501","763,433",15.348,24.71,"121,787",1.494,49.42,"384,499","390,793","929,777"
0,Total for all sectors,Total,Establishments with 1 to 4 employees,2020,"3,201,911","3,699,358","8,187,082","8,232,184","579,633",15.659,"584,183",15.782,"2,122,899","1,387,431","735,468",16.854,25.788,"2,212,685","1,414,898","797,787",17.187,26.878,"−89,786",−1.091,51.576,"436,058","445,013","1,056,388"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2011,"1,004,121","1,343,514","9,456,799","9,480,602","49,025",3.652,"46,681",3.478,"1,627,764","648,673","979,091",6.842,17.169,"1,675,088","613,475","1,061,613",6.471,17.669,"−47,324",−0.499,34.339,"27,753","29,325","384,688"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2012,"1,003,691","1,338,705","9,495,103","9,448,591","47,823",3.576,"45,427",3.396,"1,687,068","635,519","1,051,549",6.726,17.855,"1,593,842","605,219","988,623",6.405,16.869,"93,226",0.987,33.737,"25,199","26,554","352,275"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2013,"1,006,683","1,342,351","9,534,971","9,451,714","49,329",3.684,"42,514",3.175,"1,660,267","657,623","1,002,644",6.958,17.566,"1,493,647","567,179","926,468",6.001,15.803,"166,620",1.763,31.606,"24,530","25,665","340,784"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2014,"1,009,125","1,350,544","9,600,362","9,487,107","49,889",3.707,"40,629",3.019,"1,648,905","664,558","984,347",7.005,17.38,"1,420,978","539,128","881,850",5.683,14.978,"227,927",2.402,29.956,"24,433","25,468","337,383"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2015,"1,013,577","1,359,245","9,655,584","9,561,433","50,673",3.739,"42,801",3.158,"1,669,255","679,801","989,454",7.11,17.458,"1,478,548","572,850","905,698",5.991,15.464,"190,707",1.995,30.927,"25,123","26,560","353,583"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2016,"1,022,201","1,376,327","9,829,715","9,675,490","52,590",3.837,"40,987",2.991,"1,744,961","711,551","1,033,410",7.354,18.035,"1,440,607","548,478","892,129",5.669,14.889,"304,354",3.146,29.778,"25,910","27,126","361,803"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2017,"1,023,181","1,378,540","9,795,279","9,739,151","51,403",3.735,"46,535",3.382,"1,728,667","689,292","1,039,375",7.078,17.75,"1,620,746","622,148","998,598",6.388,16.642,"107,921",1.108,33.283,"26,936","28,315","378,165"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2018,"1,024,965","1,375,713","9,774,880","9,717,741","47,198",3.432,"45,902",3.338,"1,658,843","628,094","1,030,749",6.463,17.07,"1,545,786","611,336","934,450",6.291,15.907,"113,057",1.163,31.814,"28,054","30,204","403,666"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2019,"1,024,155","1,377,138","9,753,359","9,728,066","47,850",3.48,"43,799",3.185,"1,597,795","640,963","956,832",6.589,16.425,"1,550,600","583,753","966,847",6.001,15.939,"47,195",0.485,31.879,"30,212","31,338","416,914"
0,Total for all sectors,Total,Establishments with 5 to 9 employees,2020,"1,009,757","1,360,801","9,593,749","9,637,346","46,195",3.391,"49,039",3.6,"1,546,141","622,351","923,790",6.458,16.043,"1,631,884","657,104","974,780",6.818,16.933,"−85,743",−0.890,32.086,"32,017","34,680","465,175"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2011,"620,457","904,464","12,731,520","12,669,395","22,987",2.546,"19,743",2.187,"1,857,476","620,341","1,237,135",4.896,14.661,"1,732,982","532,742","1,200,240",4.205,13.678,"124,494",0.983,27.357,"10,616","11,108","297,706"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2012,"615,055","900,700","12,803,191","12,678,729","23,894",2.656,"21,445",2.384,"2,008,595","646,636","1,361,959",5.1,15.842,"1,756,597","585,029","1,171,568",4.614,13.855,"251,998",1.988,27.709,"10,675","11,544","312,559"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2013,"621,129","907,655","12,907,660","12,760,826","24,971",2.758,"20,503",2.264,"1,986,830","670,912","1,315,918",5.258,15.57,"1,688,753","557,047","1,131,706",4.365,13.234,"298,077",2.336,26.468,"10,733","11,266","302,276"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2014,"629,492","920,390","13,086,273","12,926,815","25,175",2.744,"19,640",2.14,"1,930,984","680,381","1,250,603",5.263,14.938,"1,616,566","530,381","1,086,185",4.103,12.506,"314,418",2.432,25.011,"11,064","11,570","309,395"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2015,"637,678","932,578","13,322,239","13,111,749","28,870",3.109,"21,157",2.278,"2,062,212","789,612","1,272,600",6.022,15.728,"1,640,748","573,032","1,067,716",4.37,12.514,"421,464",3.214,25.027,"11,692","12,320","330,900"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2016,"646,305","944,354","13,457,616","13,278,142","28,206",2.997,"21,479",2.283,"2,045,657","766,435","1,279,222",5.772,15.406,"1,692,568","584,564","1,108,004",4.402,12.747,"353,089",2.659,25.494,"12,260","12,954","348,987"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2017,"654,310","956,699","13,610,853","13,499,848","27,954",2.927,"24,826",2.599,"2,143,480","755,391","1,388,089",5.596,15.878,"1,928,759","675,191","1,253,568",5.001,14.287,"214,721",1.591,28.575,"13,410","14,211","385,469"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2018,"658,805","964,222","13,718,948","13,605,153","23,841",2.472,"24,415",2.531,"2,091,559","644,598","1,446,961",4.738,15.373,"1,857,645","662,312","1,195,333",4.868,13.654,"233,914",1.719,27.308,"13,512","14,483","389,758"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2019,"661,355","961,579","13,618,837","13,534,176","25,570",2.664,"21,836",2.275,"1,923,783","690,878","1,232,905",5.105,14.214,"1,759,548","591,234","1,168,314",4.368,13.001,"164,235",1.213,26.002,"13,811","14,355","385,909"
0,Total for all sectors,Total,Establishments with 10 to 19 employees,2020,"657,312","955,608","13,500,956","13,492,130","24,396",2.553,"24,254",2.538,"1,866,758","660,834","1,205,924",4.898,13.836,"1,851,472","652,694","1,198,778",4.838,13.723,"15,286",0.113,27.445,"15,028","15,938","428,324"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2011,"4,549,298","5,709,499","30,126,731","30,091,001","642,710",11.249,"650,442",11.385,"5,659,386","2,679,621","2,979,765",8.905,18.808,"5,586,846","2,531,703","3,055,143",8.413,18.567,"72,540",0.241,37.133,"415,811","428,028","1,606,206"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2012,"4,584,990","5,734,208","30,343,383","30,100,732","652,034",11.411,"611,478",10.702,"5,953,762","2,723,417","3,230,345",9.048,19.779,"5,465,324","2,529,497","2,935,827",8.403,18.157,"488,438",1.623,36.314,"375,016","386,546","1,511,330"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2013,"4,599,271","5,752,875","30,458,528","30,177,396","642,493",11.208,"602,085",10.503,"5,825,553","2,727,396","3,098,157",9.038,19.304,"5,259,733","2,438,164","2,821,569",8.079,17.429,"565,820",1.875,34.859,"379,700","386,884","1,493,299"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2014,"4,624,312","5,805,166","30,761,867","30,386,237","653,761",11.331,"582,697",10.099,"5,786,989","2,772,553","3,014,436",9.124,19.045,"5,035,608","2,328,017","2,707,591",7.661,16.572,"751,381",2.473,33.144,"378,063","385,806","1,487,438"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2015,"4,657,276","5,857,854","31,117,379","30,709,389","666,524",11.451,"591,978",10.17,"5,973,071","2,925,149","3,047,922",9.525,19.45,"5,150,234","2,428,111","2,722,123",7.907,16.771,"822,837",2.679,33.542,"380,563","389,460","1,539,150"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2016,"4,711,692","5,956,627","31,564,872","31,064,541","691,192",11.725,"567,540",9.628,"6,100,398","2,988,421","3,111,977",9.62,19.638,"5,107,858","2,355,866","2,751,992",7.584,16.443,"992,540",3.195,32.885,"385,388","394,539","1,574,540"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2017,"4,735,864","5,980,144","31,603,700","31,411,835","660,983",11.093,"617,690",10.367,"6,073,642","2,872,276","3,201,366",9.144,19.336,"5,704,865","2,640,929","3,063,936",8.407,18.162,"368,777",1.174,36.323,"397,471","407,468","1,647,761"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2018,"4,758,191","5,984,909","31,641,159","31,439,859","636,266",10.657,"607,749",10.179,"5,868,555","2,616,149","3,252,406",8.321,18.666,"5,455,811","2,569,914","2,885,897",8.174,17.353,"412,744",1.313,34.706,"405,306","417,769","1,690,512"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2019,"4,796,566","6,030,574","31,586,922","31,416,625","654,811",10.916,"590,864",9.85,"5,657,929","2,728,783","2,929,146",8.686,18.009,"5,324,790","2,426,488","2,898,302",7.724,16.949,"333,139",1.06,33.898,"427,065","436,486","1,732,600"
0,Total for all sectors,Total,Establishments with 1 to 19 employees,2020,"4,781,571","6,015,767","31,281,787","31,361,659","650,224",10.802,"657,476",10.923,"5,535,482","2,670,616","2,864,866",8.516,17.65,"5,695,806","2,724,696","2,971,110",8.688,18.162,"−160,324",−0.511,35.301,"481,358","495,631","1,949,887"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2011,"474,694","803,336","32,927,203","32,701,520","15,889",1.98,"13,818",1.722,"4,183,539","1,185,418","2,998,121",3.625,12.793,"3,729,840","1,054,073","2,675,767",3.223,11.406,"453,699",1.387,22.811,"5,673","6,013","434,151"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2012,"483,141","817,129","33,748,538","33,316,206","16,352",2.004,"14,411",1.766,"4,646,110","1,232,011","3,414,099",3.698,13.945,"3,780,710","1,065,843","2,714,867",3.199,11.348,"865,400",2.598,22.696,"5,752","6,171","439,973"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2013,"494,566","835,635","34,474,170","34,109,247","16,854",2.02,"14,469",1.734,"4,533,267","1,289,555","3,243,712",3.781,13.29,"3,808,092","1,097,119","2,710,973",3.216,11.164,"725,175",2.126,22.329,"6,092","6,345","457,734"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2014,"504,807","854,488","35,226,541","34,850,951","17,008",1.994,"13,851",1.624,"4,391,218","1,302,068","3,089,150",3.736,12.6,"3,636,290","1,060,263","2,576,027",3.042,10.434,"754,928",2.166,20.868,"5,794","6,110","437,361"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2015,"517,060","876,798","36,240,964","35,730,905","19,839",2.269,"14,977",1.713,"4,749,797","1,496,721","3,253,076",4.189,13.293,"3,733,988","1,126,084","2,607,904",3.152,10.45,"1,015,809",2.843,20.901,"6,601","7,020","496,473"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2016,"529,413","902,633","37,119,254","36,735,208","19,203",2.133,"14,445",1.605,"4,646,469","1,441,486","3,204,983",3.924,12.649,"3,878,526","1,092,252","2,786,274",2.973,10.558,"767,943",2.09,21.116,"6,720","7,225","515,927"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2017,"536,244","918,893","37,730,429","37,505,464","18,674",2.032,"19,047",2.072,"5,037,651","1,395,857","3,641,794",3.722,13.432,"4,588,683","1,464,615","3,124,068",3.905,12.235,"448,968",1.197,24.469,"7,845","8,572","612,523"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2018,"545,301","930,211","38,131,020","37,925,697","16,645",1.789,"17,299",1.859,"4,681,790","1,268,568","3,413,222",3.345,12.345,"4,278,588","1,278,040","3,000,548",3.37,11.282,"403,202",1.063,22.563,"7,233","8,094","574,037"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2019,"551,995","946,220","38,673,991","38,414,135","16,742",1.771,"15,426",1.631,"4,440,933","1,265,218","3,175,715",3.294,11.561,"3,930,862","1,158,213","2,772,649",3.015,10.233,"510,071",1.328,20.466,"7,259","7,962","564,598"
0,Total for all sectors,Total,Establishments with 20 to 99 employees,2020,"553,185","951,320","38,679,779","38,638,645","17,021",1.79,"15,796",1.661,"4,368,155","1,287,989","3,080,166",3.333,11.305,"4,285,583","1,187,794","3,097,789",3.074,11.091,"82,572",0.214,22.183,"7,806","8,404","594,601"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2011,"66,224","144,418","27,742,944","27,504,462","1,509",1.045,"1,454",1.007,"2,969,585","540,538","2,429,047",1.965,10.797,"2,485,798","525,144","1,960,654",1.909,9.038,"483,787",1.759,18.076,384,397,"133,403"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2012,"67,156","147,123","28,410,411","28,085,542","1,664",1.132,"1,443",0.982,"3,132,320","578,638","2,553,682",2.06,11.153,"2,480,422","522,471","1,957,951",1.86,8.832,"651,898",2.321,17.663,422,444,"153,794"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2013,"69,571","150,864","29,087,873","28,845,676","1,792",1.188,"1,684",1.117,"3,101,365","638,053","2,463,312",2.212,10.752,"2,612,575","588,178","2,024,397",2.039,9.057,"488,790",1.695,18.114,530,553,"189,786"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2014,"71,682","155,123","29,969,710","29,653,511","1,931",1.246,"1,565",1.01,"3,196,044","687,238","2,508,806",2.318,10.778,"2,565,539","563,460","2,002,079",1.9,8.652,"630,505",2.126,17.303,438,449,"154,348"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2015,"73,442","159,458","30,804,521","30,473,448","2,039",1.281,"1,563",0.982,"3,306,909","715,277","2,591,632",2.347,10.852,"2,634,881","540,514","2,094,367",1.774,8.646,"672,028",2.205,17.293,422,430,"144,516"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2016,"74,840","163,445","31,532,935","31,272,411","1,876",1.15,"1,388",0.85,"3,218,465","658,442","2,560,023",2.106,10.292,"2,691,207","491,400","2,199,807",1.571,8.606,"527,258",1.686,17.211,456,481,"164,599"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2017,"75,606","165,483","31,970,099","31,658,218","1,919",1.16,"1,921",1.161,"3,534,717","689,425","2,845,292",2.178,11.165,"2,906,496","664,799","2,241,697",2.1,9.181,"628,221",1.984,18.362,528,541,"185,306"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2018,"78,217","168,561","32,564,364","32,294,914","1,873",1.112,"1,666",0.989,"3,377,061","675,755","2,701,306",2.092,10.457,"2,847,497","574,047","2,273,450",1.778,8.817,"529,564",1.64,17.634,528,550,"189,875"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2019,"80,336","171,613","33,201,481","32,936,162","1,786",1.041,"1,642",0.957,"3,193,868","621,831","2,572,037",1.888,9.697,"2,666,827","587,478","2,079,349",1.784,8.097,"527,041",1.6,16.194,478,498,"167,467"
0,Total for all sectors,Total,Establishments with 100 to 499 employees,2020,"81,420","173,240","33,446,119","33,327,746","1,722",0.994,"1,716",0.991,"3,186,248","630,319","2,555,929",1.891,9.56,"2,948,880","622,892","2,325,988",1.869,8.848,"237,368",0.712,17.696,495,522,"179,122"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2011,"521,579","947,754","60,670,147","60,205,982","17,398",1.838,"15,272",1.613,"7,154,453","1,725,956","5,428,497",2.867,11.883,"6,217,214","1,579,217","4,637,997",2.623,10.327,"937,239",1.557,20.653,"6,029","6,410","567,554"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2012,"530,708","964,252","62,158,949","61,401,748","18,016",1.87,"15,854",1.646,"7,780,472","1,810,649","5,969,823",2.949,12.671,"6,262,972","1,588,314","4,674,658",2.587,10.2,"1,517,500",2.471,20.4,"6,145","6,615","593,767"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2013,"543,987","986,499","63,562,043","62,954,922","18,646",1.893,"16,153",1.639,"7,636,500","1,927,608","5,708,892",3.062,12.13,"6,422,217","1,685,297","4,736,920",2.677,10.201,"1,214,283",1.929,20.403,"6,594","6,898","647,520"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2014,"555,780","1,009,611","65,196,251","64,504,462","18,939",1.879,"15,416",1.53,"7,588,640","1,989,306","5,599,334",3.084,11.765,"6,203,176","1,623,723","4,579,453",2.517,9.617,"1,385,464",2.148,19.233,"6,200","6,559","591,709"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2015,"569,378","1,036,256","67,045,485","66,204,353","21,878",2.117,"16,540",1.6,"8,058,427","2,211,998","5,846,429",3.341,12.172,"6,370,140","1,666,598","4,703,542",2.517,9.622,"1,688,287",2.55,19.244,"7,000","7,450","640,989"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2016,"582,698","1,066,078","68,652,189","68,007,619","21,079",1.982,"15,833",1.489,"7,866,322","2,099,928","5,766,394",3.088,11.567,"6,570,882","1,583,652","4,987,230",2.329,9.662,"1,295,440",1.905,19.324,"7,151","7,706","680,526"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2017,"590,005","1,084,376","69,700,528","69,163,682","20,593",1.899,"20,968",1.933,"8,571,465","2,085,282","6,486,183",3.015,12.393,"7,493,962","2,129,414","5,364,548",3.079,10.835,"1,077,503",1.558,21.67,"8,338","9,113","797,829"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2018,"601,565","1,098,772","70,695,384","70,220,610","18,518",1.685,"18,965",1.726,"8,058,050","1,944,323","6,113,727",2.769,11.475,"7,125,039","1,852,087","5,272,952",2.638,10.147,"933,011",1.329,20.293,"7,717","8,644","763,912"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2019,"610,057","1,117,833","71,875,472","71,350,297","18,528",1.659,"17,068",1.528,"7,634,133","1,887,049","5,747,084",2.645,10.7,"6,596,923","1,745,691","4,851,232",2.447,9.246,"1,037,210",1.454,18.492,"7,699","8,460","732,065"
0,Total for all sectors,Total,Establishments with 20 to 499 employees,2020,"612,255","1,124,560","72,125,898","71,966,391","18,743",1.668,"17,512",1.558,"7,553,786","1,918,308","5,635,478",2.666,10.496,"7,233,668","1,810,686","5,422,982",2.516,10.051,"320,118",0.445,20.103,"8,261","8,926","773,723"
0,Total for all sectors,Total,Establishments with 500 employees or more,2011,"8,499","17,073","22,218,837","21,979,147",90,0.527,107,0.626,"1,945,214","170,554","1,774,660",0.776,8.85,"1,462,160","210,483","1,251,677",0.958,6.652,"483,054",2.198,13.305,26,28,"48,016"
